-3.141593 1.000000
-3.041593 0.980166
-2.941593 0.922619
-2.841593 0.832963
-2.741593 0.719703
-2.641593 0.593133
-2.541593 0.464005
-2.441593 0.342206
-2.341593 0.235614
-2.241593 0.149304
-2.141593 0.085221
-2.041593 0.042333
-1.941593 0.017241
-1.841593 0.005120
-1.741593 0.000835
-1.641593 0.000025
-1.541593 0.000001
-1.441593 0.000276
-1.341593 0.002665
-1.241593 0.010924
-1.141593 0.029991
-1.041593 0.064959
-0.941593 0.119947
-0.841593 0.197068
-0.741593 0.295664
-0.641593 0.411947
-0.541593 0.539135
-0.441593 0.668055
-0.341593 0.788158
-0.241593 0.888796
-0.141593 0.960567
-0.041593 0.996545
0.058407 0.993197
0.158407 0.950852
0.258407 0.873662
0.358407 0.769043
0.458407 0.646698
0.558407 0.517355
0.658407 0.391413
0.758407 0.277705
0.858407 0.182543
0.958407 0.109179
1.058408 0.057771
1.158407 0.025805
1.258407 0.008921
1.358407 0.001974
1.458407 0.000158
1.558408 0.000000
1.658407 0.000059
1.758407 0.001210
1.858407 0.006474
1.958407 0.020411
2.058408 0.048184
2.158407 0.094452
2.258407 0.162276
2.358407 0.252218
2.458407 0.361805
2.558408 0.485454
2.658407 0.614883
2.758407 0.739972
2.858407 0.849949
2.958407 0.934735
3.058408 0.986240
