Frequency,Phase
2.725432531281029025e-01,-1.084845155484404078e+00
2.744343303228364839e-01,-1.092378527446817182e+00
2.763385290053169685e-01,-1.099964297165992200e+00
2.782559402207124277e-01,-1.107602830863083421e+00
2.801866556459195468e-01,-1.115294497355969527e+00
2.821307675939472293e-01,-1.123039668078444686e+00
2.840883690183303445e-01,-1.130838717099560853e+00
2.860595535175741722e-01,-1.138692021143132616e+00
2.880444153396296558e-01,-1.146599959607400132e+00
2.900430493863991877e-01,-1.154562914584855049e+00
2.920555512182746449e-01,-1.162581270882232731e+00
2.940820170587062909e-01,-1.170655416040671915e+00
2.961225437988034281e-01,-1.178785740356033562e+00
2.981772290019671923e-01,-1.186972636899401801e+00
3.002461709085549324e-01,-1.195216501537743170e+00
3.023294684405777866e-01,-1.203517732954749953e+00
3.044272212064301764e-01,-1.211876732671850920e+00
3.065395295056526637e-01,-1.220293905069402385e+00
3.086664943337272815e-01,-1.228769657408056437e+00
3.108082173869063936e-01,-1.237304399850311043e+00
3.129648010670751934e-01,-1.245898545482237996e+00
3.151363484866478437e-01,-1.254552510335404714e+00
3.173229634734976989e-01,-1.263266713408972564e+00
3.195247505759211681e-01,-1.272041576691986586e+00
3.217418150676371602e-01,-1.280877525185860621e+00
3.239742629528197249e-01,-1.289774986927046507e+00
3.262222009711668869e-01,-1.298734393009905119e+00
3.284857366030044523e-01,-1.307756177609771253e+00
3.307649780744240653e-01,-1.316840778006214574e+00
3.330600343624588455e-01,-1.325988634606509953e+00
3.353710152002930545e-01,-1.335200190969299872e+00
3.376980310825090648e-01,-1.344475893828470214e+00
3.400411932703706896e-01,-1.353816193117234778e+00
3.424006137971423724e-01,-1.363221541992424735e+00
3.447764054734464012e-01,-1.372692396858993913e+00
3.471686818926561502e-01,-1.382229217394738141e+00
3.495775574363274574e-01,-1.391832466575231742e+00
3.520031472796679717e-01,-1.401502610698987628e+00
3.544455673970434706e-01,-1.411240119412833671e+00
3.569049345675229801e-01,-1.421045465737517777e+00
3.593813663804627523e-01,-1.430919126093541882e+00
3.618749812411279354e-01,-1.440861580327222002e+00
3.643858983763545445e-01,-1.450873311736986304e+00
3.669142378402492910e-01,-1.460954807099902553e+00
3.694601205199302685e-01,-1.471106556698449808e+00
3.720236681413067736e-01,-1.481329054347529706e+00
3.746050032748992065e-01,-1.491622797421718882e+00
3.772042493416998266e-01,-1.501988286882771639e+00
3.798215306190735330e-01,-1.512426027307371301e+00
3.824569722466998889e-01,-1.522936526915132704e+00
3.851107002325570572e-01,-1.533520297596866255e+00
3.877828414589456485e-01,-1.544177854943093786e+00
3.904735236885560901e-01,-1.554909718272828867e+00
3.931828755705769063e-01,-1.565716410662627345e+00
3.959110266468458539e-01,-1.576598458975897232e+00
3.986581073580440782e-01,-1.587556393892489481e+00
4.014242490499320692e-01,-1.598590749938557654e+00
4.042095839796306933e-01,-1.609702065516697367e+00
4.070142453219438017e-01,-1.620890882936370847e+00
4.098383671757261371e-01,-1.632157748444612366e+00
4.126820845702953711e-01,-1.643503212257025670e+00
4.155455334718875515e-01,-1.654927828589073391e+00
4.184288507901581244e-01,-1.666432155687660011e+00
4.213321743847288081e-01,-1.678016755863023679e+00
4.242556430717777105e-01,-1.689682195520914920e+00
4.271993966306779078e-01,-1.701429045195103518e+00
4.301635758106794882e-01,-1.713257879580181164e+00
4.331483223376399461e-01,-1.725169277564686521e+00
4.361537789208004834e-01,-1.737163822264551349e+00
4.391800892596086081e-01,-1.749242101056860177e+00
4.422273980505899149e-01,-1.761404705613956345e+00
4.452958509942655518e-01,-1.773652231937860035e+00
4.483855948021187587e-01,-1.785985280395036456e+00
4.514967772036100890e-01,-1.798404455751499764e+00
4.546295469532399269e-01,-1.810910367208262040e+00
4.577840538376618529e-01,-1.823503628437135538e+00
4.609604486828433600e-01,-1.836184857616886656e+00
4.641588833612778631e-01,-1.848954677469746066e+00
4.673795107992462228e-01,-1.861813715298292093e+00
4.706224849841281754e-01,-1.874762603022694707e+00
4.738879609717653318e-01,-1.887801977218338090e+00
4.771760948938745805e-01,-1.900932479153818466e+00
4.804870439655130054e-01,-1.914154754829327620e+00
4.838209664925955944e-01,-1.927469455015430766e+00
4.871780218794632411e-01,-1.940877235292230774e+00
4.905583706365048147e-01,-1.954378756088932745e+00
4.939621743878320759e-01,-1.967974682723826474e+00
4.973895958790063854e-01,-1.981665685444664371e+00
5.008407989848211450e-01,-1.995452439469466599e+00
5.043159487171360311e-01,-2.009335625027740768e+00
5.078152112327672940e-01,-2.023315927402137948e+00
5.113387538414325695e-01,-2.037394036970545663e+00
5.148867450137493140e-01,-2.051570649248602329e+00
5.184593543892911383e-01,-2.065846464932687532e+00
5.220567527846976530e-01,-2.080222189943335742e+00
5.256791122018421580e-01,-2.094698535469136313e+00
5.293266058360561743e-01,-2.109276218011082005e+00
5.329994080844089321e-01,-2.123955959427396234e+00
5.366976945540474775e-01,-2.138738486978840392e+00
5.404216420705916235e-01,-2.153624533374509209e+00
5.441714286865890760e-01,-2.168614836818113734e+00
5.479472336900287344e-01,-2.183710141054774567e+00
5.517492376129126130e-01,-2.198911195418313813e+00
5.555776222398876030e-01,-2.214218754879070605e+00
5.594325706169378520e-01,-2.229633580092234890e+00
5.633142670601354318e-01,-2.245156437446711450e+00
5.672228971644543982e-01,-2.260788099114530603e+00
5.711586478126432498e-01,-2.276529343100791358e+00
5.751217071841612238e-01,-2.292380953294176127e+00
5.791122647641759880e-01,-2.308343719518017867e+00
5.831305113526221717e-01,-2.324418437581939667e+00
5.871766390733255125e-01,-2.340605909334080525e+00
5.912508413831878418e-01,-2.356906942713906439e+00
5.953533130814369079e-01,-2.373322351805612573e+00
5.994842503189410365e-01,-2.389852956892148939e+00
6.036438506075867405e-01,-2.406499584509850020e+00
6.078323128297229427e-01,-2.423263067503691470e+00
6.120498372476699256e-01,-2.440144245083185393e+00
6.162966255132941162e-01,-2.457143962878920007e+00
6.205728806776501516e-01,-2.474263072999757895e+00
6.248788072006891126e-01,-2.491502434090690610e+00
6.292146109610343707e-01,-2.508862911391377182e+00
6.335804992658250478e-01,-2.526345376795370523e+00
6.379766808606280870e-01,-2.543950708910030833e+00
6.424033659394192686e-01,-2.561679793117161541e+00
6.468607661546326160e-01,-2.579533521634348237e+00
6.513490946272803006e-01,-2.597512793577044565e+00
6.558685659571431570e-01,-2.615618515021390866e+00
6.604193962330303647e-01,-2.633851599067786875e+00
6.650018030431119609e-01,-2.652212965905237585e+00
6.696160054853220744e-01,-2.670703542876469605e+00
6.742622241778342129e-01,-2.689324264543845544e+00
6.789406812696109350e-01,-2.708076072756077313e+00
6.836516004510236888e-01,-2.726959916715764543e+00
6.883952069645498106e-01,-2.745976753047745689e+00
6.931717276155405782e-01,-2.765127545868322212e+00
6.979813907830659803e-01,-2.784413266855302105e+00
7.028244264308348699e-01,-2.803834895318961351e+00
7.077010661181887263e-01,-2.823393418273842936e+00
7.126115430111746862e-01,-2.843089830511497773e+00
7.175560918936926269e-01,-2.862925134674115135e+00
7.225349491787214085e-01,-2.882900341329094562e+00
7.275483529196228316e-01,-2.903016469044568115e+00
7.325965428215229780e-01,-2.923274544465874758e+00
7.376797602527732645e-01,-2.943675602393015733e+00
7.427982482564916555e-01,-2.964220685859119353e+00
7.479522515621821466e-01,-2.984910846209890334e+00
7.531420165974371805e-01,-3.005747143184119174e+00
7.583677914997191127e-01,-3.026730644995211161e+00
7.636298261282243871e-01,-3.047862428413794511e+00
7.689283720758310903e-01,-3.069143578851413423e+00
7.742636826811269968e-01,-3.090575190445306486e+00
7.796360130405233235e-01,-3.112158366144322841e+00
7.850456200204509738e-01,-3.133894217795965886e+00
7.904927622696422684e-01,-3.155783866234600055e+00
7.959777002314983863e-01,-3.177828441370838863e+00
8.015006961565405152e-01,-3.200029082282125792e+00
8.070620141149503768e-01,-3.222386937304545285e+00
8.126619200091945716e-01,-3.244903164125866102e+00
8.183006815867391870e-01,-3.267578929879852989e+00
8.239785684528517784e-01,-3.290415411241866206e+00
8.296958520834906148e-01,-3.313413794525761791e+00
8.354528058382867384e-01,-3.336575275782139638e+00
8.412497049736118448e-01,-3.359901060897919400e+00
8.470868266557404214e-01,-3.383392365697326820e+00
8.529644499741022567e-01,-3.407050416044261620e+00
8.588828559546252128e-01,-3.430876447946105579e+00
8.648423275731722537e-01,-3.454871707658977886e+00
8.708431497690723999e-01,-3.479037451794483982e+00
8.768856094587428318e-01,-3.503374947427952968e+00
8.829699955494089147e-01,-3.527885472208228901e+00
8.890965989529160396e-01,-3.552570314469009727e+00
8.952657125996396070e-01,-3.577430773341782722e+00
9.014776314524917122e-01,-3.602468158870391512e+00
9.077326525210226427e-01,-3.627683792127227580e+00
9.140310748756229620e-01,-3.653079005331122620e+00
9.203731996618222944e-01,-3.678655141966946651e+00
9.267593301146878071e-01,-3.704413556906936300e+00
9.331897715733238341e-01,-3.730355616533820751e+00
9.396648314954693104e-01,-3.756482698865728054e+00
9.461848194721999006e-01,-3.782796193682954389e+00
9.527500472427292699e-01,-3.809297502656589618e+00
9.593608287093141618e-01,-3.835988039479068856e+00
9.660174799522646127e-01,-3.862869229996658937e+00
9.727203192450539770e-01,-3.889942512343926406e+00
9.794696670695393070e-01,-3.917209337080233666e+00
9.862658461312823199e-01,-3.944671167328282380e+00
9.931091813749796104e-01,-3.972329478914756518e+00
1.000000000000000000e+00,-4.000185760513103261e+00
1.006938631476027579e+00,-4.028241513788485939e+00
1.013925407558815328e+00,-4.056498253544954302e+00
1.020960662306046540e+00,-4.084957507874876548e+00
1.028044732093309266e+00,-4.113620818310679716e+00
1.035177955630176339e+00,-4.142489739978918450e+00
1.042360673976401753e+00,-4.171565841756759596e+00
1.049593230558227619e+00,-4.200850706430886206e+00
1.056875971184803920e+00,-4.230345930858891990e+00
1.064209244064724169e+00,-4.260053126133219514e+00
1.071593399822671211e+00,-4.289973917747656351e+00
1.079028791516184249e+00,-4.320109945766489545e+00
1.086515774652538457e+00,-4.350462864996322843e+00
1.094054707205742494e+00,-4.381034345160645493e+00
1.101645949633656363e+00,-4.411826071077175726e+00
1.109289864895222744e+00,-4.442839742838062378e+00
1.116986818467823106e+00,-4.474077075992971331e+00
1.124737178364751955e+00,-4.505539801735140237e+00
1.132541315152811423e+00,-4.537229667090440621e+00
1.140399601970032428e+00,-4.569148435109528172e+00
1.148312414543511073e+00,-4.601297885063108772e+00
1.156280131207376050e+00,-4.633679812640411733e+00
1.164303132920876838e+00,-4.666296030150928864e+00
1.172381803286598467e+00,-4.699148366729475335e+00
1.180516528568804846e+00,-4.732238668544648696e+00
1.188707697711903322e+00,-4.765568799010738488e+00
1.196955702359043361e+00,-4.799140639003172559e+00
1.205260936870842681e+00,-4.832956087077567631e+00
1.213623798344240612e+00,-4.867017059692450687e+00
1.222044686631488020e+00,-4.901325491435740034e+00
1.230524004359261570e+00,-4.935883335255018878e+00
1.239062156947916327e+00,-4.970692562691749750e+00
1.247659552630869806e+00,-5.005755164119447542e+00
1.256316602474120803e+00,-5.041073148985927510e+00
1.265033720395903227e+00,-5.076648546059678857e+00
1.273811323186478495e+00,-5.112483403680495364e+00
1.282649830528060475e+00,-5.148579790014405688e+00
1.291549665014884107e+00,-5.184939793313013467e+00
1.300511252173409238e+00,-5.221565522177336049e+00
1.309535020482667012e+00,-5.258459105826227109e+00
1.318621401394748593e+00,-5.295622694369512828e+00
1.327770829355429782e+00,-5.333058459085849634e+00
1.336983741824946614e+00,-5.370768592705524647e+00
1.346260579298910409e+00,-5.408755309698209501e+00
1.355601785329368258e+00,-5.447020846565801655e+00
1.365007806546013835e+00,-5.485567462140472195e+00
1.374479092677537428e+00,-5.524397437887991202e+00
1.384016096573131627e+00,-5.563513078216495877e+00
1.393619274224142668e+00,-5.602916710790764476e+00
1.403289084785872332e+00,-5.642610686852143509e+00
1.413025990599533710e+00,-5.682597381544237436e+00
1.422830457214352640e+00,-5.722879194244480772e+00
1.432702953409831004e+00,-5.763458548901716938e+00
1.442643951218158138e+00,-5.804337894379921536e+00
1.452653925946780555e+00,-5.845519704808193495e+00
1.462733356201129986e+00,-5.887006479937151759e+00
1.472882723907502633e+00,-5.928800745501847658e+00
1.483102514336104516e+00,-5.970905053591390121e+00
1.493393216124252687e+00,-6.013321983025370798e+00
1.503755321299737657e+00,-6.056054139737267583e+00
1.514189325304351907e+00,-6.099104157164974005e+00
1.524695727017573832e+00,-6.142474696648579702e+00
1.535275028780422657e+00,-6.186168447835599160e+00
1.545927736419477672e+00,-6.230188129093803262e+00
1.556654359271061328e+00,-6.274536487931776207e+00
1.567455410205595090e+00,-6.319216301427436733e+00
1.578331405652117381e+00,-6.364230376664623101e+00
1.589282865622978047e+00,-6.409581551177980785e+00
1.600310313738700918e+00,-6.455272693406290507e+00
1.611414277253019112e+00,-6.501306703154451583e+00
1.622595287078087090e+00,-6.547686512064298192e+00
1.633853877809861244e+00,-6.594415084094436885e+00
1.645190587753662559e+00,-6.641495416009306041e+00
1.656605958949914470e+00,-6.688930537877691762e+00
1.668100537200059241e+00,-6.736723513580855638e+00
1.679674872092653093e+00,-6.784877441330549708e+00
1.691329517029647844e+00,-6.833395454197083829e+00
1.703065029252844420e+00,-6.882280720647669270e+00
1.714881969870539979e+00,-6.931536445095373367e+00
1.726780903884356011e+00,-6.981165868458741208e+00
1.738762400216250503e+00,-7.031172268732496455e+00
1.750827031735724182e+00,-7.081558961569466959e+00
1.762975375287205715e+00,-7.132329300874019395e+00
1.775208011717635204e+00,-7.183486679407276476e+00
1.787525525904235524e+00,-7.235034529404348547e+00
1.799928506782476401e+00,-7.286976323203885997e+00
1.812417547374236770e+00,-7.339315573890237587e+00
1.824993244816152327e+00,-7.392055835948426967e+00
1.837656200388171568e+00,-7.445200705932368379e+00
1.850407019542302134e+00,-7.498753823146473430e+00
1.863246311931559873e+00,-7.552718870341109003e+00
1.876174691439120412e+00,-7.607099574422105270e+00
1.889192776207666347e+00,-7.661899707174673502e+00
1.902301188668944709e+00,-7.717123086002096066e+00
1.915500555573527830e+00,-7.772773574679498587e+00
1.928791508020777812e+00,-7.828855084123042651e+00
1.942174681489025501e+00,-7.885371573174952964e+00
1.955650715865949074e+00,-7.942327049404661388e+00
1.969220255479172454e+00,-7.999725569926499524e+00
1.982883949127071332e+00,-8.057571242234359943e+00
1.996642450109793465e+00,-8.115868225053587182e+00
2.010496416260497909e+00,-8.174620729210694492e+00
2.024446509976803643e+00,-8.233833018521135472e+00
2.038493398252463340e+00,-8.293509410695683925e+00
2.052637752709252084e+00,-8.353654278265793209e+00
2.066880249629082122e+00,-8.414272049528435105e+00
2.081221569986338338e+00,-8.475367209510825006e+00
2.095662399480433091e+00,-8.536944300955507714e+00
2.110203428568595552e+00,-8.599007925326356272e+00
2.124845352498883067e+00,-8.661562743835894196e+00
2.139588871343421683e+00,-8.724613478494477548e+00
2.154434690031883370e+00,-8.788164913181915949e+00
2.169383518385184395e+00,-8.852221894741946429e+00
2.184436071149427505e+00,-8.916789334100238662e+00
2.199593068030074594e+00,-8.981872207406405906e+00
2.214855233726359174e+00,-9.047475557200627350e+00
2.230223297965937324e+00,-9.113604493605517831e+00
2.245697995539774006e+00,-9.180264195543736960e+00
2.261280066337278516e+00,-9.247459911982090830e+00
2.276970255381680186e+00,-9.315196963202708957e+00
2.292769312865650111e+00,-9.383480742101925287e+00
2.308677994187168458e+00,-9.452316715517586232e+00
2.324697059985648018e+00,-9.521710425585487414e+00
2.340827276178293115e+00,-9.591667491125523526e+00
2.357069413996727647e+00,-9.662193609058494559e+00
2.373424250023867366e+00,-9.733294555854119068e+00
2.389892566231048843e+00,-9.804976189011123111e+00
2.406475150015424003e+00,-9.877244448570166924e+00
2.423172794237599348e+00,-9.950105358660403354e+00
2.439986297259550074e+00,-1.002356502908054559e+01
2.456916462982791316e+00,-1.009762965691522041e+01
2.473964100886812734e+00,-1.017230552818754497e+01
2.491130026067788439e+00,-1.024759901954883290e+01
2.508415059277540049e+00,-1.032351660000622395e+01
2.525820026962784848e+00,-1.040006483268937920e+01
2.543345761304649510e+00,-1.047725037665703063e+01
2.560993100258458277e+00,-1.055507998874453968e+01
2.578762887593800901e+00,-1.063356052545332098e+01
2.596655972934871048e+00,-1.071269894488331431e+01
2.614673211801092023e+00,-1.079250230870952976e+01
2.632815465648021380e+00,-1.087297778420377270e+01
2.651083601908537535e+00,-1.095413264630265537e+01
2.669478494034320804e+00,-1.103597427972318634e+01
2.688001021537606228e+00,-1.111851018112691492e+01
2.706652070033241486e+00,-1.120174796133406936e+01
2.725432531281029025e+00,-1.128569534758886128e+01
2.744343303228363951e+00,-1.137036018587719610e+01
2.763385290053169907e+00,-1.145575044329829595e+01
2.782559402207124499e+00,-1.154187421049132745e+01
2.801866556459195134e+00,-1.162873970411873614e+01
2.821307675939472404e+00,-1.171635526940748484e+01
2.840883690183302779e+00,-1.180472938274981942e+01
2.860595535175741944e+00,-1.189387065436503477e+01
2.880444153396296336e+00,-1.198378783102374179e+01
2.900430493863991543e+00,-1.207448979883633911e+01
2.920555512182746671e+00,-1.216598558610724901e+01
2.940820170587062243e+00,-1.225828436625661411e+01
2.961225437988034503e+00,-1.235139546081127904e+01
2.981772290019671701e+00,-1.244532834246660968e+01
3.002461709085549213e+00,-1.254009263822125497e+01
3.023294684405777755e+00,-1.263569813258649077e+01
3.044272212064302874e+00,-1.273215477087220115e+01
3.065395295056526859e+00,-1.282947266255138352e+01
3.086664943337273037e+00,-1.292766208470529321e+01
3.108082173869064047e+00,-1.302673348555116561e+01
3.129648010670751823e+00,-1.312669748805478065e+01
3.151363484866479325e+00,-1.322756489362999588e+01
3.173229634734976212e+00,-1.332934668592746519e+01
3.195247505759212014e+00,-1.343205403471490733e+01
3.217418150676371713e+00,-1.353569829985117678e+01
3.239742629528197249e+00,-1.364029103535669840e+01
3.262222009711670090e+00,-1.374584399358265685e+01
3.284857366030043746e+00,-1.385236912948142241e+01
3.307649780744240875e+00,-1.395987860498109079e+01
3.330600343624588788e+00,-1.406838479346636639e+01
3.353710152002930656e+00,-1.417790028436900229e+01
3.376980310825091536e+00,-1.428843788787032487e+01
3.400411932703705897e+00,-1.440001063971875439e+01
3.424006137971423946e+00,-1.451263180616541248e+01
3.447764054734464345e+00,-1.462631488902064447e+01
3.471686818926561280e+00,-1.474107363083471256e+01
3.495775574363275240e+00,-1.485692202020577746e+01
3.520031472796679051e+00,-1.497387429721840491e+01
3.544455673970433818e+00,-1.509194495901597399e+01
3.569049345675229468e+00,-1.521114876551026285e+01
3.593813663804627634e+00,-1.533150074523190654e+01
3.618749812411280242e+00,-1.545301620132509690e+01
3.643858983763544224e+00,-1.557571071769026716e+01
3.669142378402491911e+00,-1.569960016527849334e+01
3.694601205199302463e+00,-1.582470070854129673e+01
3.720236681413067625e+00,-1.595102881203997924e+01
3.746050032748993175e+00,-1.607860124721822004e+01
3.772042493416997377e+00,-1.620743509934203885e+01
3.798215306190734442e+00,-1.633754777461153651e+01
3.824569722466999000e+00,-1.646895700744812885e+01
3.851107002325570683e+00,-1.660168086796205955e+01
3.877828414589457484e+00,-1.673573776960433079e+01
3.904735236885560123e+00,-1.687114647700753167e+01
3.931828755705768064e+00,-1.700792611402023979e+01
3.959110266468458761e+00,-1.714609617193942981e+01
3.986581073580441004e+00,-1.728567651794575966e+01
4.014242490499322358e+00,-1.742668740374640635e+01
4.042095839796307821e+00,-1.756914947443040376e+01
4.070142453219436796e+00,-1.771308377754123597e+01
4.098383671757261482e+00,-1.785851177237188736e+01
4.126820845702954266e+00,-1.800545533948711707e+01
4.155455334718875626e+00,-1.815393679047835107e+01
4.184288507901582577e+00,-1.830397887795612988e+01
4.213321743847286527e+00,-1.845560480578540208e+01
4.242556430717777438e+00,-1.860883823956891803e+01
4.271993966306778745e+00,-1.876370331738381481e+01
4.301635758106795215e+00,-1.892022466077698439e+01
4.331483223376400460e+00,-1.907842738602424149e+01
4.361537789208003169e+00,-1.923833711565877991e+01
4.391800892596085859e+00,-1.939997999027414721e+01
4.422273980505899260e+00,-1.956338268060689956e+01
4.452958509942654963e+00,-1.972857239990447553e+01
4.483855948021188809e+00,-1.989557691658318817e+01
4.514967772036099447e+00,-2.006442456718150069e+01
4.546295469532399380e+00,-2.023514426961390456e+01
4.577840538376618973e+00,-2.040776553672985827e+01
4.609604486828433600e+00,-2.058231849018298121e+01
4.641588833612779297e+00,-2.075883387461500718e+01
4.673795107992461340e+00,-2.093734307215890311e+01
4.706224849841281532e+00,-2.111787811726554054e+01
